Reporter Identifier	VALUE
A_23_P108303	-0.166948777
A_23_P108314	-0.018113555
A_23_P108326	-2.584605048
A_23_P108331	-0.645012893
A_23_P108342	2.292534561
A_23_P108376	0.331316237
A_23_P10839	-1.170665167
A_23_P108394	-1.907398461
A_23_P108404	-2.121544268
A_23_P108415	-0.604972697
A_23_P108427	-4.338797656
A_23_P108437	-3.944018145
A_23_P108463	-0.333981036
A_23_P108492	-0.010138211
A_23_P108501	-1.816297823
A_23_P108514	1.398930355
A_23_P108522	0.513561163
A_23_P108534	0.385259275
A_23_P108554	-1.45712451
A_23_P108564	0.111013809
A_23_P108574	-1.087816689
A_23_P10858	1.838745795
A_23_P108592	0.750120544
A_23_P108604	0.363866476
A_23_P108641	-1.292105111
A_23_P108657	1.407993085
A_23_P108662	-0.456959686
A_23_P108673	-6.696671932
A_23_P10870	-0.776952866
A_23_P108708	-0.541835705
A_23_P10873	2.744541558
A_23_P108734	0.188733312
A_23_P108751	-7.138438247
A_23_P108761	0.143368498
A_23_P108785	1.17618239
A_23_P108819	0.09772144
A_23_P108823	-4.245884731
A_23_P108835	2.158483102
A_23_P108842	1.750502694
A_23_P10885	1.325435791
A_23_P108871	-0.175377941
A_23_P108883	-1.924691008
A_23_P108911	0.58864153
A_23_P108922	1.80550237
A_23_P108932	-3.34226406
A_23_P108948	-2.569541233
A_23_P108970	-0.103831703
A_23_P108990	0.339047717
A_23_P108994	-1.833216133
A_23_P109001	0.398984798
A_23_P109017	1.338571502
A_23_P10902	-1.088180017
A_23_P109026	-2.345769807
A_23_P109034	-2.571925887
A_23_P109055	0.563362914
A_23_P109072	-3.409682211
A_23_P10911	0.229813113
A_23_P109122	-1.381547392
A_23_P109133	0.866437806
A_23_P109143	-0.950318199
A_23_P109171	-3.050364542
A_23_P109184	6.274585731
A_23_P109193	-0.024835436
A_23_P109201	-2.031007218
A_23_P109224	0.032275121
A_23_P109229	0.328210744
A_23_P109235	0.079336865
A_23_P109254	0.175410358
A_23_P109269	-0.387554696
A_23_P10927	1.455636371
A_23_P109286	0.050592252
A_23_P109304	-0.173221885
A_23_P109320	-2.875617426
A_23_P109322	-3.192301256
A_23_P109333	0.45492047
A_23_P109345	-1.220185891
A_23_P10936	-0.086820155
A_23_P109393	-0.581393836
A_23_P109410	-0.025690956
A_23_P109420	0.834820654
A_23_P109427	-3.627718639
A_23_P109436	2.752042938
A_23_P109442	-0.18274365
A_23_P109446	0.159369284
A_23_P109452	-0.324603903
A_23_P10947	1.845452368
A_23_P109470	-0.403008847
A_23_P109488	2.6062966
A_23_P109508	3.284371504
