Reporter Identifier	VALUE
A_24_P208045	-1.0902491
A_33_P3306948	-0.72545147
A_33_P3232498	0.1854372
A_23_P410998	-0.50329256
A_24_P26177	-0.04137039
A_23_P218675	0.3190179
A_33_P3307197	-0.49381447
A_24_P33552	0.11373997
A_23_P27107	0.77686787
A_19_P00319318	-0.49896383
A_23_P44781	0.04287052
A_23_P380871	-0.37975597
A_19_P00318415	-0.21587515
A_33_P3302305	0.3365965
A_32_P101570	0.25993204
A_33_P3414591	0.41319942
A_23_P202156	0.021109581
A_24_P683011	0.23460484
A_23_P209269	-0.11159992
ERCC-00067_104	-0.3361845
A_33_P3245238	0.82656765
A_23_P12053	-0.20619535
A_23_P354965	-1.1224651
A_33_P3381899	0.56694365
A_24_P394420	0.51084805
A_23_P57819	0
A_24_P36868	-0.82680845
A_24_P122682	0.24663544
A_33_P3219720	-0.38611603
A_19_P00809902	0.3471079
A_23_P142918	-0.04872656
A_33_P3415843	-0.18012905
(+)E1A_r60_a135	0.26832962
A_24_P917759	1.4310555
A_23_P250735	0.2539606
A_23_P104734	-0.16334343
A_23_P103661	0.044254303
A_33_P3281985	-0.29372978
A_23_P23765	0.15004444
A_23_P112159	-0.4833665
A_24_P122137	-0.47902298
A_24_P62783	-0.9838886
A_19_P00319655	0.6791067
A_24_P136866	0.22204733
A_33_P3227736	-0.24439621
A_23_P114353	0.62280035
A_24_P83899	0.4045534
A_23_P31315	-0.13096523
A_33_P3281537	-0.38429642
A_24_P940477	-0.3510375
ERCC-00156_158	-0.28273153
A_23_P216920	0
A_23_P122624	0.2670889
A_19_P00805168	0.5295086
A_33_P3214570	-1.3330946
A_33_P3499174	0.5342188
ERCC-00147_344	-0.3039627
A_23_P120243	0.20154
A_23_P71830	0.21100092
A_23_P117928	-0.13737774
A_33_P3330323	-2.5158958
ERCC-00039_95	-0.20159149
A_33_P3222367	-0.5199623
A_23_P382094	-0.29939842
A_32_P225345	-0.29523802
A_23_P214079	1.1292
ERCC-00104_60	-0.22757149
A_33_P3242388	-0.12344456
A_33_P3490449	-0.2772436
A_23_P104892	-0.003848076
A_19_P00324546	1.0527387
A_23_P88626	-0.33451557
A_23_P119141	0.19252396
A_23_P83278	0.31373692
A_33_P3465703	0.78882027
A_24_P196704	-0.48448372
A_32_P112752	-0.1107254
A_24_P29594	-0.36587143
A_24_P23245	0.25933075
A_23_P61447	-0.050271988
A_24_P246692	0.66926193
A_19_P00800896	-0.6369271
A_33_P3443165	0.5032835
A_33_P3278764	-0.32456207
A_23_P258190	0.69671154
A_23_P48070	0.2909031
A_23_P113748	-0.24546432
A_23_P20225	-0.62518024
A_33_P3335498	-0.9277353
A_19_P00331182	-0.16788483
A_23_P436048	-0.2052722
A_23_P1594	-0.055285454
A_33_P3316978	-0.72498274
A_33_P3378644	-0.17347336
A_23_P11214	-0.00767231
A_24_P307486	0
A_23_P139786	0.5508518
A_19_P00330864	-0.77358913
A_23_P105747	-0.048728943
A_23_P11664	-0.33091545
A_23_P17471	0.2645383
A_23_P371758	-0.24347305
A_33_P3306113	0.1753025
A_24_P374516	-0.03311062
A_23_P218375	0.7157898
A_23_P64567	0.09070969
A_23_P113393	-0.49437857
A_19_P00325827	0.39961815
A_23_P159956	-0.26618767
A_23_P106544	0.5209379
A_24_P83808	0.4153366
A_23_P121686	0.30098534
A_24_P273245	0
A_19_P00806842	0.57703686
A_33_P3418421	-0.3050909
A_33_P3364929	-0.30898285
A_23_P32805	-0.31279325
A_23_P106391	0.101570606
A_33_P3375613	0.028381348
A_23_P101093	0.23373032
A_23_P307536	-1.1021357
A_24_P115774	-0.42190456
A_33_P3259620	-0.35465622
A_23_P336060	0.4893551
A_33_P3389634	0.37740135
A_24_P23258	-0.19095612
A_33_P3228612	0.09171009
A_19_P00328226	-0.34743452
A_24_P225518	-0.5462923
A_33_P3420852	0.138978
A_19_P00811460	0
A_33_P3312217	-0.36107492
A_33_P3358295	0.39567184
A_33_P3390008	-0.36483908
A_33_P3280950	0.31750965
A_23_P106024	-0.08147144
ERCC-00171_229	-0.2231226
A_33_P3312509	0.883441
A_23_P500861	-0.47258377
