Reporter Identifier	VALUE
GT_44k_23_P108314	-5.5802197
GT_44k_23_P108326	-1.384347
GT_44k_23_P108331	3.9105158
GT_44k_23_P108342	-4.9514966
GT_44k_23_P108376	-0.039871216
GT_44k_23_P10839	1.8886051
GT_44k_23_P108394	2.2026978
GT_44k_23_P108404	-0.65477467
GT_44k_23_P108415	4.4203453
GT_44k_23_P108427	-7.4762783
GT_44k_23_P108437	-1.3910885
GT_44k_23_P108463	-2.9612465
GT_44k_23_P108492	-5.28212
GT_44k_23_P108501	-6.6582355
GT_44k_23_P108514	0.51684856
GT_44k_23_P108522	3.3364096
GT_44k_23_P108546	-7.2772503
GT_44k_23_P108554	4.5307093
GT_44k_23_P108564	-8.227495
GT_44k_23_P108574	0.6411238
GT_44k_23_P10858	-0.40405846
GT_44k_23_P108592	-4.088715
GT_44k_23_P108604	3.385748
GT_44k_23_P108641	2.951725
GT_44k_23_P108657	0.5528574
GT_44k_23_P108662	3.7205782
GT_44k_23_P108673	-3.0394893
GT_44k_23_P108699	-6.9696608
GT_44k_23_P10870	0.5262413
GT_44k_23_P108708	4.6056566
GT_44k_23_P10873	1.523859
GT_44k_23_P108734	-8.354354
GT_44k_23_P108743	-8.051267
GT_44k_23_P108751	2.289154
GT_44k_23_P108761	1.2310915
GT_44k_23_P108785	6.0802803
GT_44k_23_P108819	-5.1222873
GT_44k_23_P108823	-2.2340703
GT_44k_23_P108835	1.2903051
GT_44k_23_P108842	-0.53391075
GT_44k_23_P10885	-3.4044242
GT_44k_23_P108871	1.5300169
GT_44k_23_P108883	-5.1891503
GT_44k_23_P108911	-6.2221212
GT_44k_23_P108922	0.16428757
GT_44k_23_P108932	-4.035169
GT_44k_23_P108948	-0.73691463
GT_44k_23_P108970	-5.580796
GT_44k_23_P108990	-8.345341
GT_44k_23_P108994	3.0255165
GT_44k_23_P109001	-3.4028244
GT_44k_23_P109017	-1.2254105
GT_44k_23_P10902	-3.8834653
GT_44k_23_P109026	0.8735943
GT_44k_23_P109034	0.2350483
GT_44k_23_P109055	-3.733139
GT_44k_23_P109072	0.20224953
GT_44k_23_P10911	-1.6828413
GT_44k_23_P109122	0.5760269
GT_44k_23_P109133	-2.3245354
GT_44k_23_P109143	2.8037796
GT_44k_23_P109171	-1.699625
GT_44k_23_P109184	-7.27256
GT_44k_23_P109193	-5.4970117
GT_44k_23_P109201	4.868396
GT_44k_23_P109224	-4.0977674
GT_44k_23_P109229	-6.0570445
GT_44k_23_P109235	1.4391623
GT_44k_23_P109254	3.2188435
GT_44k_23_P109269	-4.031824
GT_44k_23_P10927	-1.5869436
GT_44k_23_P109286	-8.364001
GT_44k_23_P109304	-1.2127047
GT_44k_23_P109320	-5.298767
GT_44k_23_P109322	-5.0837784
GT_44k_23_P109333	2.535883
GT_44k_23_P109345	4.694231
GT_44k_23_P10936	-8.1694355
GT_44k_23_P109382	-6.917233
GT_44k_23_P109393	-4.801859
GT_44k_23_P109410	-1.3713274
GT_44k_23_P109420	1.6437912
